38 Provinsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Produksi Tanaman Sayuran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bawang Merah (Ton),,Bawang Putih (Ton),,Bawang Daun (Ton),,Kentang (Ton),,Kubis (Ton),,Kembang Kol (Ton),,Petsai/Sawi (Ton),,Wortel (Ton),,Lobak (Ton),,Kacang Merah (Ton),,Kacang Panjang (Ton),,Cabai Besar (Ton),,Cabai Rawit (Ton),,Tomat (Ton),,Terung (Ton),,Buncis (Ton),,Ketimun (Ton),,Labu Siam (Ton),,Kangkung (Ton),,Bayam (Ton),,Melinjo (Ton),,Paprika (Ton),,Jamur (Kg),,Petai (Ton),,Jengkol (Ton),
,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022,2021,2022
NUSA TENGGARA TIMUR,11430,7584,579,483,2137,1855,410,334,3418,3009,759,963,13376,12157,3377,3523,-,-,-,-,6817,6342,3218,3683,9076,19881,10605,9215,14471,16623,4448,3606,6200,5305,15884,23777,14483,14824,5155,5453,125,68,150,38,2,0,448,388,-,0
KALIMANTAN BARAT,104,44,-,0,1009,749,-,0,28,0,23,10,5118,4278,5,0,-,-,-,-,7222,7357,2791,3324,6332,6193,4108,3136,7254,7137,1835,1113,10933,9124,262,1494,4762,5232,2701,3171,1272,1075,1,0,75,19,4844,5263,10224,11651
KALIMANTAN TENGAH,34,112,-,0,1954,1387,-,0,28,21,94,101,2839,2046,-,0,-,-,-,-,6962,4364,1711,1290,6961,5419,3505,2425,6467,4983,2927,1737,7816,5367,95,94,2788,2089,1578,1472,1355,1192,-,0,264,215,2175,1608,3015,2726
KALIMANTAN SELATAN,389,246,-,0,808,765,-,0,11,0,48,70,1441,1220,-,0,-,-,-,-,4749,4317,8977,8417,11758,11764,5067,4303,5225,4958,1958,2113,4905,4291,-,0,1638,1436,1673,1307,872,526,-,0,258,350,3294,3799,963,2016
KALIMANTAN TIMUR,72,114,-,0,426,479,-,0,4,2,120,125,6915,8493,-,0,-,-,-,-,9691,9476,5916,5732,8367,7778,9101,8841,10810,12270,5239,5546,12248,11911,119,324,12331,11026,5334,4930,1521,546,42,0,55,167,936,936,716,949
KALIMANTAN UTARA,88,7,-,0,1282,1552,-,0,-,0,-,0,1891,3150,-,0,-,-,-,-,1596,2873,4161,5852,5819,5875,6008,7783,12200,9165,1197,2897,5522,4817,90,126,4114,3529,2378,2127,280,107,-,0,2,1,633,1306,20,13
SULAWESI UTARA,4986,5020,11,0,81469,74324,120187,95139,75085,107276,1319,988,48022,58786,55002,58690,-,-,-,-,3186,2015,9042,7183,17371,19006,66711,82079,13197,9188,1932,1523,3553,2559,42031,25555,5018,4033,612,443,375,202,-,0,1,0,-,0,-,0
SULAWESI TENGAH,4652,3454,211,116,6879,6066,656,426,36735,27025,624,506,14766,13486,6212,5469,-,-,-,-,2978,2713,6528,6152,22199,25389,17634,18870,5062,5169,1330,1121,2956,3138,5336,2252,2877,2364,1172,1416,59,45,12,15,18,8,85,99,133,1086
SULAWESI SELATAN,183210,175160,47,1,38203,47501,71083,92613,59868,68522,1637,2793,15590,17839,44209,70154,-,-,-,-,12899,10437,17822,16671,26423,23761,63373,65919,11301,11379,7321,5411,8404,9151,13462,11043,14232,11086,6642,5398,36,34,-,12,241,1439,2386,2148,1233,1752
SULAWESI TENGGARA,1015,449,-,0,508,406,-,0,121,365,98,16,1191,1452,2,0,-,-,-,-,4309,3821,2411,2540,4287,3915,4800,4115,5820,5221,203,236,2183,2434,876,601,3951,4315,2436,2681,231,268,-,0,2,14,539,850,1034,2691
GORONTALO,346,418,6,0,14,15,-,0,2,0,1,0,25,35,-,0,-,-,-,-,159,432,909,1593,13032,14805,2808,4370,238,354,-,51,91,173,9,0,131,216,17,50,-,0,-,0,-,0,2,2,-,0
SULAWESI BARAT,693,748,36,48,246,204,101,70,2,9,-,0,633,521,8,9,-,-,-,-,2410,2391,2466,3602,3336,3496,1483,1967,1522,1661,45,19,1263,1338,125,168,1877,1886,1372,1175,-,0,-,0,-,0,13,13,-,0
MALUKU,1013,759,-,0,456,398,3,1,880,727,91,71,3804,3825,7,48,-,-,-,-,2805,3172,2029,3148,3596,3847,4024,5086,3271,4083,1173,1487,2744,2693,1577,547,4918,4342,1800,1838,280,78,23,37,-,0,295,219,5,7
MALUKU UTARA,1231,805,-,0,725,865,-,0,20,128,23,190,1238,1310,-,0,-,-,-,-,2401,3900,3040,3727,3733,2873,5449,8479,3136,4216,419,439,1497,3197,785,435,1674,2101,539,937,332,421,-,0,-,0,5,5,1,0
PAPUA BARAT,118,78,5,3,198,269,71,29,261,430,44,164,1635,3504,43,50,-,-,-,-,2779,7627,911,1567,3808,4107,2214,5584,1696,3482,1173,3001,2348,4762,188,204,3607,6064,2349,4217,49,200,23,0,-,2,53,556,96,48
PAPUA,304,286,-,0,1021,921,2,0,3740,2078,289,67,6073,4413,18,16,-,-,-,-,6813,4189,3016,2198,5054,4335,8569,5735,3846,2569,2550,1948,3118,1894,559,375,8027,6046,2711,2328,73,39,1,0,-,0,68,68,10,19
INDONESIA,2004590,1982360,45092,30582,627853,638735,1361064,1503998,1434670,1503798,203385,192121,727467,760608,720090,737965,-,-,-,-,383685,360871,1360571,1475821,1386447,1544441,1114399,1168744,676339,691738,320774,325602,471941,444057,516954,461804,341196,329616,171706,170821,292167,262405,12665,20997,90420,63155,387691,444277,152609,155909
